"Rk","G","Date","Age","Tm"," ","Opp"," ","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","1","2018-10-17","29-052","HOU","","NOP","L (-19)","1","34:43","6","15",".400","3","8",".375","3","4",".750","2","7","9","10","3","1","4","2","18","18.9","-23"
"2","2","2018-10-20","29-055","HOU","@","LAL","W (+9)","1","37:50","10","19",".526","5","10",".500","11","15",".733","1","6","7","5","2","1","6","2","36","27.0","-3"
"3","3","2018-10-21","29-056","HOU","@","LAC","L (-3)","1","39:45","11","26",".423","4","12",".333","5","6",".833","0","4","4","14","2","0","3","1","31","26.4","+5"
"4","4","2018-10-24","29-059","HOU","","UTA","L (-11)","1","31:38","10","19",".526","3","4",".750","6","9",".667","1","4","5","7","1","0","7","4","29","17.7","-5"
"8","5","2018-11-03","29-069","HOU","@","CHI","W (+8)","1","33:16","7","17",".412","5","12",".417","6","8",".750","0","1","1","7","4","0","8","3","25","15.1","+9"
"9","6","2018-11-05","29-071","HOU","@","IND","W (+4)","1","35:07","7","15",".467","5","12",".417","9","9","1.000","0","4","4","6","3","1","5","5","28","22.4","+6"
"10","7","2018-11-08","29-074","HOU","@","OKC","L (-18)","1","37:32","7","19",".368","4","12",".333","1","3",".333","1","7","8","5","2","1","5","3","19","10.5","-13"
"11","8","2018-11-10","29-076","HOU","@","SAS","L (-7)","1","38:31","7","27",".259","1","13",".077","10","13",".769","0","6","6","3","2","2","2","3","25","11.8","-8"
"12","9","2018-11-11","29-077","HOU","","IND","W (+12)","1","37:59","9","20",".450","8","18",".444","14","15",".933","0","7","7","9","1","1","9","5","40","28.3","+14"
"13","10","2018-11-13","29-079","HOU","@","DEN","W (+10)","1","36:49","7","16",".438","2","10",".200","6","8",".750","1","4","5","11","3","1","4","3","22","20.9","+13"
"14","11","2018-11-15","29-081","HOU","","GSW","W (+21)","1","32:05","8","23",".348","4","14",".286","7","8",".875","0","3","3","3","2","0","1","4","27","16.1","+11"
"15","12","2018-11-17","29-083","HOU","","SAC","W (+20)","1","34:17","10","17",".588","4","10",".400","10","10","1.000","0","4","4","8","3","0","6","3","34","28.7","+1"
"16","13","2018-11-21","29-087","HOU","","DET","W (+2)","1","36:22","10","20",".500","4","9",".444","19","19","1.000","1","6","7","9","4","0","6","3","43","38.6","+9"
"17","14","2018-11-23","29-089","HOU","@","DET","L (-5)","1","40:53","9","27",".333","3","11",".273","12","14",".857","1","1","2","8","0","1","7","5","33","15.2","-14"
"18","15","2018-11-24","29-090","HOU","@","CLE","L (-9)","1","43:38","14","30",".467","5","12",".417","7","12",".583","1","3","4","13","1","0","9","3","40","24.1","-2"
"19","16","2018-11-26","29-092","HOU","@","WAS","L (-4)","1","47:21","17","32",".531","7","15",".467","13","15",".867","1","7","8","13","3","0","11","4","54","39.9","+7"
"20","17","2018-11-28","29-094","HOU","","DAL","L (-20)","1","37:21","7","15",".467","4","11",".364","7","9",".778","1","10","11","17","6","0","8","4","25","28.5","-16"
"21","18","2018-11-30","29-096","HOU","@","SAS","W (+31)","1","27:35","9","20",".450","3","11",".273","2","2","1.000","1","6","7","10","0","1","2","4","23","19.2","+33"
"22","19","2018-12-01","29-097","HOU","","CHI","W (+16)","1","30:22","9","16",".563","6","11",".545","6","7",".857","0","6","6","7","1","1","7","1","30","23.0","+11"
"23","20","2018-12-03","29-099","HOU","@","MIN","L (-12)","1","37:01","8","17",".471","3","7",".429","10","13",".769","0","4","4","8","2","1","5","5","29","21.6","-13"
"24","21","2018-12-06","29-102","HOU","@","UTA","L (-27)","1","27:58","5","16",".313","2","8",".250","3","3","1.000","1","5","6","2","0","0","7","3","15","1.2","-27"
"25","22","2018-12-08","29-104","HOU","@","DAL","L (-3)","1","36:39","11","22",".500","6","16",".375","7","7","1.000","0","4","4","8","1","1","6","5","35","24.5","-8"
"26","23","2018-12-11","29-107","HOU","","POR","W (+7)","1","32:28","10","21",".476","4","9",".444","5","7",".714","0","1","1","4","1","0","2","4","29","18.0","-15"
"27","24","2018-12-13","29-109","HOU","","LAL","W (+15)","1","35:28","14","26",".538","4","12",".333","18","19",".947","2","8","10","11","2","0","6","4","50","42.9","+14"
"28","25","2018-12-15","29-111","HOU","@","MEM","W (+8)","1","40:32","9","14",".643","3","7",".429","11","13",".846","0","12","12","10","2","0","5","1","32","32.2","+3"
"29","26","2018-12-17","29-113","HOU","","UTA","W (+5)","1","40:34","14","31",".452","4","12",".333","15","16",".938","0","6","6","5","5","0","5","4","47","34.2","-1"
"30","27","2018-12-19","29-115","HOU","","WAS","W (+18)","1","33:38","10","18",".556","6","11",".545","9","9","1.000","0","3","3","9","2","0","2","4","35","32.0","+12"
"31","28","2018-12-20","29-116","HOU","@","MIA","L (-2)","1","42:49","7","23",".304","6","14",".429","15","18",".833","1","5","6","12","2","0","3","4","35","28.5","+6"
"32","29","2018-12-22","29-118","HOU","","SAS","W (+7)","1","41:07","12","34",".353","7","19",".368","8","9",".889","2","2","4","10","2","0","3","4","39","26.0","+14"
"33","30","2018-12-25","29-121","HOU","","OKC","W (+4)","1","38:48","15","35",".429","5","16",".313","6","7",".857","2","4","6","7","2","1","6","3","41","25.1","+4"
"34","31","2018-12-27","29-123","HOU","","BOS","W (+14)","1","38:31","11","26",".423","9","18",".500","14","17",".824","0","2","2","6","0","1","6","2","45","28.7","+3"
"35","32","2018-12-29","29-125","HOU","@","NOP","W (+4)","1","37:01","10","25",".400","7","17",".412","14","14","1.000","3","6","9","6","3","2","7","4","41","31.4","-6"
"36","33","2018-12-31","29-127","HOU","","MEM","W (+12)","1","41:03","8","19",".421","6","12",".500","21","27",".778","1","9","10","13","2","0","9","3","43","34.8","+21"
"37","34","2019-01-03","29-130","HOU","@","GSW","W (+1)","1","44:01","13","32",".406","10","23",".435","8","9",".889","2","8","10","15","1","2","7","4","44","34.5","+5"
"38","35","2019-01-05","29-132","HOU","@","POR","L (-9)","1","36:59","13","35",".371","5","17",".294","7","7","1.000","0","5","5","7","1","1","7","4","38","18.2","-14"
"39","36","2019-01-07","29-134","HOU","","DEN","W (+12)","1","39:52","7","18",".389","6","15",".400","12","15",".800","0","5","5","14","1","1","6","4","32","26.4","+23"
"40","37","2019-01-09","29-136","HOU","","MIL","L (-7)","1","40:54","13","30",".433","6","16",".375","10","11",".909","1","10","11","6","2","1","9","4","42","25.8","+2"
